propertyCode,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33884658,flat,88.0,2,1,São Vicente,38.7186029,-9.131021,good,False,True,False,True,True,2780.0,7.930206206684683,31.59090909090909,0.09011597962141685
33884612,flat,120.0,2,2,Lumiar,38.777677,-9.1532019,good,False,True,False,True,True,1800.0,7.495541943884256,15.0,0.0624628495323688
33884552,flat,44.0,1,1,Penha de França,38.7280805,-9.1292346,good,False,False,False,False,False,1100.0,7.003065458786462,25.0,0.15916057860878322
33884381,flat,70.0,1,1,Estrela,38.7066754,-9.1724892,good,False,False,False,False,False,1400.0,7.24422751560335,20.0,0.10348896450861929
33884424,flat,100.0,2,3,Avenidas Novas,38.733303,-9.1536754,good,False,True,False,True,True,2500.0,7.824046010856292,25.0,0.07824046010856292
33670959,duplex,59.0,1,1,Arroios,38.7142201,-9.1400773,good,False,False,False,False,False,1400.0,7.24422751560335,23.728813559322035,0.12278351721361609
33884329,flat,68.0,1,2,Santa Maria Maior,38.7102378,-9.1356296,good,False,True,False,False,False,3300.0,8.101677747454572,48.529411764705884,0.11914231981550841
33440738,flat,100.0,2,1,São Vicente,38.7223462,-9.128994,good,False,True,False,True,True,1850.0,7.52294091807237,18.5,0.0752294091807237
33884075,flat,83.0,2,1,Santa Clara,38.7936358,-9.1555209,good,False,False,False,False,False,1150.0,7.047517221357296,13.855421686746988,0.08490984604044935
32928980,flat,80.0,2,1,Areeiro,38.7441578,-9.1419408,good,False,True,False,False,False,1400.0,7.24422751560335,17.5,0.09055284394504187
32653990,studio,33.0,0,1,Santa Maria Maior,38.7166723,-9.1361459,good,False,False,False,False,False,900.0,6.802394763324311,27.272727272727273,0.20613317464619124
33883948,flat,143.0,2,2,Santo António,38.7211632,-9.1410023,good,False,False,False,False,False,6000.0,8.699514748210191,41.95804195804196,0.060835767470001335
33883896,flat,44.0,1,1,Santo António,38.7218344,-9.1454324,good,False,False,False,False,False,2300.0,7.7406644019172415,52.27272727272727,0.17592419095266457
29923408,studio,40.0,0,1,Alvalade,38.754433,-9.1496097,good,False,False,False,False,False,750.0,6.620073206530356,18.75,0.1655018301632589
33883609,flat,115.0,3,2,Arroios,38.723731,-9.1354235,good,False,False,False,False,False,1900.0,7.549609165154532,16.52173913043478,0.06564877534916984
33883608,flat,70.0,1,1,Avenidas Novas,38.7414505,-9.143659,good,False,False,False,False,False,1500.0,7.313220387090301,21.428571428571427,0.10447457695843287
33851539,flat,52.0,1,1,São Domingos de Benfica,38.7532208,-9.1759948,good,False,True,False,False,False,1100.0,7.003065458786462,21.153846153846153,0.1346743357458935
33883581,flat,210.0,4,4,Alvalade,38.7452778,-9.1446502,good,False,True,False,False,False,3300.0,8.101677747454572,15.714285714285714,0.03857941784502177
33600044,flat,55.0,1,1,Parque das Nações,38.7898061,-9.0991447,good,False,True,False,False,False,1350.0,7.2078598714324755,24.545454545454547,0.13105199766240866
33883506,flat,110.0,2,2,Santo António,38.7246907,-9.1469625,good,False,True,False,False,False,1690.0,7.432483807917119,15.363636363636363,0.06756803461742836
33883552,flat,198.0,4,5,Parque das Nações,38.778376,-9.0911356,good,False,True,False,True,True,3500.0,8.160518247477505,17.67676767676768,0.041214738623623765
33883467,flat,140.0,3,2,Penha de França,38.7351162,-9.1265872,good,False,True,False,False,False,1690.0,7.432483807917119,12.071428571428571,0.05308917005655085
33883431,flat,170.0,4,3,Avenidas Novas,38.7347356,-9.1500386,good,False,True,False,True,True,3450.0,8.146129510025405,20.294117647058822,0.047918408882502386
33883236,flat,75.0,3,1,Alvalade,38.7540457,-9.1442049,good,False,False,False,False,False,1350.0,7.2078598714324755,18.0,0.09610479828576635
33883106,flat,135.0,5,2,Estrela,38.7084857,-9.1615585,good,False,False,False,False,False,2800.0,7.937374696163295,20.74074074074074,0.05879536811972811
33883135,flat,165.0,3,4,Arroios,38.7325894,-9.1432159,good,False,True,False,True,True,5000.0,8.517193191416238,30.303030303030305,0.051619352675249926
33883157,studio,60.0,0,1,Marvila,38.740721,-9.1011568,good,False,False,False,False,False,1350.0,7.2078598714324755,22.5,0.12013099785720792
33883154,studio,45.0,0,1,Marvila,38.7397614,-9.1037109,good,False,False,False,False,False,1250.0,7.1308988302963465,27.77777777777778,0.15846441845102993
33883099,flat,45.0,2,1,Arroios,38.7334914,-9.1316602,good,False,False,False,False,False,1300.0,7.170119543449628,28.88888888888889,0.15933598985443617
33862941,flat,96.0,2,1,Alvalade,38.7456687,-9.1412607,good,False,True,False,False,False,1900.0,7.549609165154532,19.791666666666668,0.07864176213702638
32829300,duplex,55.0,2,1,Olivais,38.7738769,-9.1065773,good,False,False,False,False,False,1250.0,7.1308988302963465,22.727272727272727,0.1296527060053881
33882987,flat,80.0,2,2,Arroios,38.7158566,-9.1390658,good,False,False,False,False,False,1250.0,7.1308988302963465,15.625,0.08913623537870433
33882965,flat,95.0,2,2,Avenidas Novas,38.74033,-9.1473356,good,False,True,False,True,True,2200.0,7.696212639346407,23.157894736842106,0.08101276462469902
33882938,flat,132.0,2,2,Lumiar,38.7668011,-9.1528402,good,False,True,False,True,True,1800.0,7.495541943884256,13.636363636363637,0.05678440866578982
33624496,flat,80.0,2,2,Areeiro,38.7423749,-9.1390937,good,False,True,False,False,False,1800.0,7.495541943884256,22.5,0.0936942742985532
33817686,flat,135.0,2,2,Alvalade,38.7540549,-9.1407161,good,False,False,False,False,False,1900.0,7.549609165154532,14.074074074074074,0.05592303085299653
33877107,studio,23.0,0,1,Ajuda,38.7102599,-9.2004216,good,False,False,False,False,False,800.0,6.684611727667927,34.78260869565217,0.2906352925073012
33882643,flat,115.0,3,2,Benfica,38.7533552,-9.2062103,good,False,True,False,False,False,1500.0,7.313220387090301,13.043478260869565,0.06359322075730697
33005355,flat,124.0,3,1,Campo de Ourique,38.7184136,-9.166948,good,False,False,False,False,False,2300.0,7.7406644019172415,18.548387096774192,0.06242471291868743
33882637,flat,57.0,1,1,Campo de Ourique,38.7153808,-9.1701031,good,False,True,False,False,False,1600.0,7.3777589082278725,28.07017543859649,0.1294343668110153
33882520,flat,205.0,3,3,São Domingos de Benfica,38.748917,-9.1779934,good,False,True,False,True,True,2650.0,7.882314918980268,12.926829268292684,0.038450316677952526
33882428,flat,70.0,3,1,Beato,38.7374457,-9.1221512,good,False,True,False,False,False,1600.0,7.3777589082278725,22.857142857142858,0.10539655583182675
33462701,flat,105.0,2,2,Alvalade,38.7459522,-9.1461654,good,False,False,False,False,False,1900.0,7.549609165154532,18.095238095238095,0.0719010396681384
33882395,flat,120.0,3,2,São Domingos de Benfica,38.7544395,-9.1744838,good,False,True,False,True,True,1950.0,7.575584651557793,16.25,0.06312987209631495
33882300,flat,75.0,3,1,Alvalade,38.7477561,-9.1393889,good,False,False,False,False,False,1350.0,7.2078598714324755,18.0,0.09610479828576635
33774969,flat,50.0,1,1,Misericórdia,38.7164971,-9.150352,good,False,False,False,False,False,1100.0,7.003065458786462,22.0,0.14006130917572923
33881687,flat,140.0,3,2,Campo de Ourique,38.7189855,-9.1577064,good,False,True,False,True,True,2750.0,7.919356190660617,19.642857142857142,0.05656682993329012
33882243,flat,150.0,2,2,Olivais,38.7625285,-9.114811,good,False,True,False,True,True,1700.0,7.438383530044307,11.333333333333334,0.04958922353362871
33861516,flat,100.0,3,1,Olivais,38.7672845,-9.1226056,good,False,True,False,False,False,1500.0,7.313220387090301,15.0,0.07313220387090301
33849174,flat,41.0,1,1,Alcântara,38.7063533,-9.1895557,good,False,False,False,False,False,1300.0,7.170119543449628,31.70731707317073,0.17488096447438117
33882139,flat,126.0,4,2,Campo de Ourique,38.7175756,-9.1679847,good,False,False,False,False,False,3500.0,8.160518247477505,27.77777777777778,0.06476601783712306
33882127,flat,146.0,2,3,Campolide,38.7319129,-9.1629966,good,False,True,False,True,True,2500.0,7.824046010856292,17.123287671232877,0.053589356238741725
