propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33889577,50.0,0,1,Ajuda,38.7060834,-9.1918817,0,0,0,0,0,0,0,0,0,1,1,0,0
33889569,18.0,1,1,Penha de França,38.7341076,-9.1325501,0,0,0,0,0,0,0,1,0,0,1,0,0
33889568,65.0,2,1,Penha de França,38.7328231,-9.1292686,0,0,0,0,0,0,0,1,0,0,1,0,0
33889566,110.0,2,1,Belém,38.7018941,-9.2021662,0,1,0,0,0,0,0,1,0,0,1,0,0
33889560,46.0,0,1,Campo de Ourique,38.7185749,-9.1581447,0,0,0,0,0,0,0,0,0,1,1,0,0
33886743,50.0,0,1,Ajuda,38.7077774,-9.1938757,0,0,0,0,0,0,0,0,0,1,1,0,0
33889556,60.0,1,1,Misericórdia,38.7113331,-9.1443905,0,0,0,0,0,0,0,1,0,0,1,0,0
33889552,60.0,2,1,Estrela,38.7073763,-9.1609333,0,0,0,0,0,0,0,1,0,0,1,0,0
33889543,50.0,0,1,Ajuda,38.7073561,-9.1914261,0,0,0,0,0,0,0,0,0,1,1,0,0
33889516,50.0,2,1,Santa Maria Maior,38.7147978,-9.1286839,0,0,0,0,0,0,0,1,0,0,1,0,0
33889503,80.0,2,1,Penha de França,38.7369029,-9.1308812,0,1,0,0,0,0,0,1,0,0,1,0,0
33889469,137.0,2,2,Lumiar,38.764486,-9.1585366,0,1,0,0,0,0,0,1,0,0,1,0,0
33889419,59.0,0,1,Santa Maria Maior,38.7153776,-9.1332706,0,0,0,0,0,0,0,0,0,1,1,0,0
33889359,78.0,2,1,Misericórdia,38.7133623,-9.1502701,0,1,0,0,0,0,0,1,0,0,1,0,0
33889267,57.0,1,1,Misericórdia,38.7126182,-9.1442231,0,0,0,0,0,0,0,1,0,0,1,0,0
33889256,200.0,3,2,Parque das Nações,38.763496,-9.102558,0,1,0,1,1,0,0,1,0,0,1,0,0
33889171,90.0,1,2,Avenidas Novas,38.7416368,-9.1657947,0,1,0,1,1,0,0,1,0,0,1,0,0
33889238,38.0,0,1,Belém,38.6966334,-9.2098645,0,1,0,1,1,0,0,0,0,1,1,0,0
33480344,85.0,2,2,Avenidas Novas,38.7293365,-9.1494488,0,1,0,0,0,0,1,0,0,0,1,0,0
33889119,109.0,3,2,Arroios,38.7275095,-9.1305301,0,0,0,0,0,0,0,1,0,0,1,0,0
